year,gdp_real,growth_real,gdp_nominal,growth_nominal
1980,1839.2,1.4,886.4,6.9
1981,1848.9,0.5,928.3,4.7
1982,1841.6,-0.4,967,4.2
1983,1870.6,1.6,1009.8,4.4
1984,1923.4,2.8,1059,4.9
1985,1968.2,2.3,1106.7,4.5
1986,2013.2,2.3,1165.9,5.4
1987,2041.4,1.4,1197.4,2.7
1988,2117.1,3.7,1262.8,5.5
1989,2199.6,3.9,1349.8,6.9
1990,2315.2,5.3,1468.9,8.8
1991,2433.4,5.1,1591.6,8.4
1992,2482.4,2,1709.9,7.4
1993,2458.3,-1,1757.3,2.8
1994,2522.1,2.6,1838,4.6
1995,2560.1,1.5,1899.9,3.4
1996,2586.7,1,1928.6,1.5
1997,2634.6,1.9,1967.2,2
1998,2689.8,2.1,2022.3,2.8
1999,2747.1,2.1,2077.2,2.7
2000,2826.1,2.9,2129.7,2.5
2001,2872.4,1.6,2195.5,3.1
2002,2865.8,-0.2,2223.4,1.3
2003,2850.6,-0.5,2240.8,0.8
2004,2883.8,1.2,2293,2.3
2005,2909.3,0.9,2325.7,1.4
2006,3021.8,3.9,2426.2,4.3
2007,3109.1,2.9,2542.2,4.8
2008,3136.7,0.9,2589.3,1.9
2009,2962.8,-5.5,2494,-3.7
2010,3085.3,4.1,2615.3,4.9
2011,3201.2,3.8,2746.9,5
2012,3216.1,0.5,2799.3,1.9
2013,3228.8,0.4,2866.5,2.4
2014,3299.2,2.2,2984.5,4.1
2015,3354.1,1.7,3087,3.4
2016,3428.6,2.2,3195.2,3.5
2017,3524.6,2.8,3333.1,4.3
2018,3564.6,1.1,3434,3
2019,3599.4,1,3537.3,3
2020,3450.7,-4.1,3450.7,-2.4
2021,3585.6,3.9,3682.3,6.7
2022,3650.5,1.8,3989.4,8.3
2023,3618.8,-0.9,4219.3,5.8
2024,3600.8,-0.5,4329,2.6
2025,3609.5,0.2,4469.9,3.3
2026,3627.8,0.5,4596.4,2.8
2027,3662.3,0.9,4768.9,3.8
2028,3694.3,0.9,4910.2,3
2029,3726.5,0.9,5055.6,3
2030,3759,0.9,5205.4,3
