cdu_csu,spd,gruene,afd,fdp,linke,bsw,freie_waehler,date
33.7,22.7,11.8,12.3,6.8,8.5,NA,NA,2017-01-02
33.6,22.7,11.8,12.4,6.8,8.6,NA,NA,2017-01-03
33.6,22.8,11.8,12.4,6.9,8.5,NA,NA,2017-01-04
33.9,22.6,11.7,12.5,6.8,8.5,NA,NA,2017-01-05
33.9,22.5,11.7,12.6,6.8,8.5,NA,NA,2017-01-06
34,22.6,11.7,12.5,6.7,8.4,NA,NA,2017-01-08
34,22.6,11.6,12.5,6.8,8.4,NA,NA,2017-01-09
34.1,22.2,11.9,12.6,6.6,8.4,NA,NA,2017-01-11
34,22.1,11.9,12.9,6.7,8.4,NA,NA,2017-01-12
34.1,22.1,11.9,12.8,6.7,8.4,NA,NA,2017-01-13
34,22.1,11.9,12.8,6.6,8.4,NA,NA,2017-01-15
34.1,22.2,11.9,12.7,6.7,8.4,NA,NA,2017-01-17
34.1,22.2,11.8,12.7,6.3,8.4,NA,NA,2017-01-18
34.2,22.2,11.8,12.6,6.3,8.4,NA,NA,2017-01-19
34.2,22.2,11.8,12.7,6.3,8.4,NA,NA,2017-01-20
33.9,22.2,11.6,12.7,6.4,8.7,NA,NA,2017-01-22
33.9,22.2,11.5,12.8,6.5,8.7,NA,NA,2017-01-24
33.8,22.2,11.6,12.8,6.5,8.8,NA,NA,2017-01-25
33.9,22.3,11.5,12.6,6.7,8.8,NA,NA,2017-01-26
33.9,22.6,11.4,12.8,6.4,8.4,NA,NA,2017-01-27
33.9,22.8,11.6,12.7,6.3,8.3,NA,NA,2017-01-29
33.8,23.2,11.5,12.7,6.3,8.3,NA,NA,2017-01-30
33.8,23.3,11.5,12.6,6.3,8.3,NA,NA,2017-01-31
33.7,23.6,11.4,12.5,6.3,8.3,NA,NA,2017-02-01
33.6,24.1,11.4,12.3,6.2,8.1,NA,NA,2017-02-02
33.4,24.5,11.3,12.3,6.2,8,NA,NA,2017-02-05
33.1,24.9,11.1,12.3,6.2,8.1,NA,NA,2017-02-06
32.9,25.2,11.1,12.3,6.2,8,NA,NA,2017-02-07
32.9,25.5,11.1,12.2,6.2,8,NA,NA,2017-02-08
32.8,25.8,11.1,12.1,6.2,7.9,NA,NA,2017-02-09
32.7,26.3,10.7,12,6.3,7.9,NA,NA,2017-02-10
32.6,26.7,10.6,12,6.2,7.9,NA,NA,2017-02-12
32.6,26.7,10.6,12,6.2,7.9,NA,NA,2017-02-13
32.5,26.8,10.5,11.9,6.2,7.9,NA,NA,2017-02-14
32.5,26.9,10.5,11.9,6.2,7.9,NA,NA,2017-02-15
32.6,27,10.6,11.8,6.2,7.7,NA,NA,2017-02-17
32.4,27.3,10.4,11.6,6.1,7.8,NA,NA,2017-02-19
32.6,27.2,10.4,11.5,6.2,7.8,NA,NA,2017-02-21
32.6,27.3,10.4,11.3,6.3,7.8,NA,NA,2017-02-22
32.4,27.4,10.4,11.3,6.3,7.7,NA,NA,2017-02-23
32.4,27.4,10.4,11.3,6.3,7.8,NA,NA,2017-02-26
32.3,27.6,10.3,11.3,6.4,7.7,NA,NA,2017-02-27
32.3,27.9,10.2,11.1,6.5,7.6,NA,NA,2017-02-28
32.2,27.9,10.3,11.1,6.5,7.5,NA,NA,2017-03-01
32.2,28,10.3,11.2,6.6,7.4,NA,NA,2017-03-05
32.1,28,10.2,11.3,6.7,7.4,NA,NA,2017-03-07
32.2,28,10.3,11.2,6.7,7.4,NA,NA,2017-03-08
32.3,28.6,9.9,10.8,6.6,7.5,NA,NA,2017-03-09
32.4,28.7,9.8,10.7,6.5,7.5,NA,NA,2017-03-10
32.4,28.8,9.8,10.6,6.5,7.5,NA,NA,2017-03-12
32.4,28.7,9.8,10.7,6.5,7.5,NA,NA,2017-03-14
32.3,28.9,9.7,10.6,6.6,7.5,NA,NA,2017-03-15
32.1,29,9.7,10.6,6.6,7.4,NA,NA,2017-03-16
32.1,29,9.7,10.6,6.6,7.4,NA,NA,2017-03-17
32.2,28.9,9.7,10.7,6.6,7.5,NA,NA,2017-03-19
32,29.2,9.7,10.7,6.5,7.5,NA,NA,2017-03-21
32.1,29.1,9.7,10.6,6.5,7.5,NA,NA,2017-03-22
32.2,29,9.8,10.6,6.5,7.5,NA,NA,2017-03-23
32.2,29.1,9.8,10.6,6.5,7.4,NA,NA,2017-03-24
32.2,29.2,9.8,10.6,6.5,7.4,NA,NA,2017-03-26
32.3,29.2,9.8,10.6,6.5,7.4,NA,NA,2017-03-27
32.4,29.2,9.8,10.5,6.5,7.4,NA,NA,2017-03-28
32.4,29.3,9.8,10.3,6.5,7.4,NA,NA,2017-03-29
32.4,29.3,9.7,10.3,6.6,7.4,NA,NA,2017-04-02
