unemployment_total,inflow_unemployment,outflow_unemployment,unemployment_rate,date
2950460,552230,609940,6.3,2026-05-01
3008160,599760,612840,6.4,2026-04-01
3021230,585020,633740,6.4,2026-03-01
3069940,576630,591320,6.5,2026-02-01
3084610,651740,475130,6.6,2026-01-01
2907990,567990,545090,6.2,2025-12-01
2885090,548480,574130,6.1,2025-11-01
2910750,618570,662580,6.2,2025-10-01
2954750,547530,617920,6.3,2025-09-01
3025140,599220,553570,6.4,2025-08-01
2979490,611780,546540,6.3,2025-07-01
2914260,522320,527190,6.2,2025-06-01
2919140,547690,560130,6.2,2025-05-01
2931550,562010,597530,6.3,2025-04-01
2967080,577380,599530,6.4,2025-03-01
2989220,585600,589050,6.4,2025-02-01
2992660,625980,439960,6.4,2025-01-01
2806630,562260,529670,6,2024-12-01
2774030,554830,571350,5.9,2024-11-01
2790530,614150,629990,6,2024-10-01
2806360,536900,602450,6,2024-09-01
2871910,591370,528180,6.1,2024-08-01
2808720,639110,556970,6,2024-07-01
2726570,501830,497800,5.8,2024-06-01
2722550,530150,557170,5.8,2024-05-01
2749580,594500,614220,6,2024-04-01
2769280,544550,589090,6,2024-03-01
2813810,579240,570810,6.1,2024-02-01
2805380,633170,464430,6.1,2024-01-01
2636730,557170,526200,5.7,2023-12-01
2605730,552180,553570,5.6,2023-11-01
2607120,547140,567130,5.7,2023-10-01
2627100,519570,588300,5.7,2023-09-01
2695830,608750,530110,5.8,2023-08-01
2617190,557300,495040,5.7,2023-07-01
2554980,512780,501520,5.5,2023-06-01
2543740,480070,521980,5.5,2023-05-01
2585680,554070,562160,5.7,2023-04-01
2593770,511820,538220,5.7,2023-03-01
2620170,578700,574510,5.7,2023-02-01
2616020,570110,407920,5.7,2023-01-01
2453880,524930,505060,5.4,2022-12-01
2434020,531660,539980,5.3,2022-11-01
2442350,544180,587590,5.3,2022-10-01
2485740,544760,606360,5.4,2022-09-01
2547340,579820,502710,5.6,2022-08-01
2470240,577240,469890,5.4,2022-07-01
2362890,565700,462460,5.2,2022-06-01
2259650,435200,484760,4.9,2022-05-01
2309210,470250,523200,5,2022-04-01
2362160,437160,502950,5.1,2022-03-01
2427960,498770,532980,5.3,2022-02-01
2462160,531340,398670,5.4,2022-01-01
