;;;;
;preisbereinigt1;;nominal;
;in Mrd. Euro;in Prozent gegenüber Vorjahr;in Mrd. Euro;in Prozent gegenüber Vorjahr
1980;1.839,2;+1,4;886,4;+6,9
1981;1.848,9;+0,5;928,3;+4,7
1982;1.841,6;-0,4;967,0;+4,2
1983;1.870,6;+1,6;1.009,8;+4,4
1984;1.923,4;+2,8;1.059,0;+4,9
1985;1.968,2;+2,3;1.106,7;+4,5
1986;2.013,2;+2,3;1.165,9;+5,4
1987;2.041,4;+1,4;1.197,4;+2,7
1988;2.117,1;+3,7;1.262,8;+5,5
1989;2.199,6;+3,9;1.349,8;+6,9
1990;2.315,2;+5,3;1.468,9;+8,8
1991;2.433,4;+5,1;1.591,6;+8,4
1992;2.482,4;+2,0;1.709,9;+7,4
1993;2.458,3;-1,0;1.757,3;+2,8
1994;2.522,1;+2,6;1.838,0;+4,6
1995;2.560,1;+1,5;1.899,9;+3,4
1996;2.586,7;+1,0;1.928,6;+1,5
1997;2.634,6;+1,9;1.967,2;+2,0
1998;2.689,8;+2,1;2.022,3;+2,8
1999;2.747,1;+2,1;2.077,2;+2,7
2000;2.826,1;+2,9;2.129,7;+2,5
2001;2.872,4;+1,6;2.195,5;+3,1
2002;2.865,8;-0,2;2.223,4;+1,3
2003;2.850,6;-0,5;2.240,8;+0,8
2004;2.883,8;+1,2;2.293,0;+2,3
2005;2.909,3;+0,9;2.325,7;+1,4
2006;3.021,8;+3,9;2.426,2;+4,3
2007;3.109,1;+2,9;2.542,2;+4,8
2008;3.136,7;+0,9;2.589,3;+1,9
2009;2.962,8;-5,5;2.494,0;-3,7
2010;3.085,3;+4,1;2.615,3;+4,9
2011;3.201,2;+3,8;2.746,9;+5,0
2012;3.216,1;+0,5;2.799,3;+1,9
2013;3.228,8;+0,4;2.866,5;+2,4
2014;3.299,2;+2,2;2.984,5;+4,1
2015;3.354,1;+1,7;3.087,0;+3,4
2016;3.428,6;+2,2;3.195,2;+3,5
2017;3.524,6;+2,8;3.333,1;+4,3
2018;3.564,6;+1,1;3.434,0;+3,0
2019;3.599,4;+1,0;3.537,3;+3,0
2020;3.450,7;-4,1;3.450,7;-2,4
2021;3.585,6;+3,9;3.682,3;+6,7
2022;3.650,5;+1,8;3.989,4;+8,3
2023;3.618,8;-0,9;4.219,3;+5,8
2024;3.600,8;-0,5;4.329,0;+2,6
2025;3.609,5;+0,2;4.469,9;+3,3
2026;3.627,8;+0,5;4.596,4;+2,8
2027;3.662,3;+0,9;4.768,9;+3,8
2028;3.694,3;+0,9;4.910,2;+3,0
2029;3.726,5;+0,9;5.055,6;+3,0
2030;3.759,0;+0,9;5.205,4;+3,0
1 Verkettete Volumenangaben, berechnet auf Basis der vom Statistischen Bundesamt veröffentlichten Indexwerte (2020 = 100).;;;;
Quelle: Bundesministerium der Finanzen;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
