Region;Deutschland;Regionsschlüssel:;d;b
Gebietsstand;Mai 26;;;
Berichtsmonat;Zeitreihe;;;
Datenstand;Mai 26;;;
Rechtskreis;Insgesamt;;;
;;;;
;;;;
Berichtsmonat ;Bestand Arbeitslose ;Zugang Arbeitslose ;Abgang Arbeitslose ;Arbeitslosenquote 
Mai 26;2.950.460;552.230;609.940;6,3
Apr 26;3.008.160;599.760;612.840;6,4
Mrz 26;3.021.230;585.020;633.740;6,4
Feb 26;3.069.940;576.630;591.320;6,5
Jan 26;3.084.610;651.740;475.130;6,6
Dez 25;2.907.990;567.990;545.090;6,2
Nov 25;2.885.090;548.480;574.130;6,1
Okt 25;2.910.750;618.570;662.580;6,2
Sep 25;2.954.750;547.530;617.920;6,3
Aug 25;3.025.140;599.220;553.570;6,4
Jul 25;2.979.490;611.780;546.540;6,3
Jun 25;2.914.260;522.320;527.190;6,2
Mai 25;2.919.140;547.690;560.130;6,2
Apr 25;2.931.550;562.010;597.530;6,3
Mrz 25;2.967.080;577.380;599.530;6,4
Feb 25;2.989.220;585.600;589.050;6,4
Jan 25;2.992.660;625.980;439.960;6,4
Dez 24;2.806.630;562.260;529.670;6
Nov 24;2.774.030;554.830;571.350;5,9
Okt 24;2.790.530;614.150;629.990;6
Sep 24;2.806.360;536.900;602.450;6
Aug 24;2.871.910;591.370;528.180;6,1
Jul 24;2.808.720;639.110;556.970;6
Jun 24;2.726.570;501.830;497.800;5,8
Mai 24;2.722.550;530.150;557.170;5,8
Apr 24;2.749.580;594.500;614.220;6
Mrz 24;2.769.280;544.550;589.090;6
Feb 24;2.813.810;579.240;570.810;6,1
Jan 24;2.805.380;633.170;464.430;6,1
Dez 23;2.636.730;557.170;526.200;5,7
Nov 23;2.605.730;552.180;553.570;5,6
Okt 23;2.607.120;547.140;567.130;5,7
Sep 23;2.627.100;519.570;588.300;5,7
Aug 23;2.695.830;608.750;530.110;5,8
Jul 23;2.617.190;557.300;495.040;5,7
Jun 23;2.554.980;512.780;501.520;5,5
Mai 23;2.543.740;480.070;521.980;5,5
Apr 23;2.585.680;554.070;562.160;5,7
Mrz 23;2.593.770;511.820;538.220;5,7
Feb 23;2.620.170;578.700;574.510;5,7
Jan 23;2.616.020;570.110;407.920;5,7
Dez 22;2.453.880;524.930;505.060;5,4
Nov 22;2.434.020;531.660;539.980;5,3
Okt 22;2.442.350;544.180;587.590;5,3
Sep 22;2.485.740;544.760;606.360;5,4
Aug 22;2.547.340;579.820;502.710;5,6
Jul 22;2.470.240;577.240;469.890;5,4
Jun 22;2.362.890;565.700;462.460;5,2
Mai 22;2.259.650;435.200;484.760;4,9
Apr 22;2.309.210;470.250;523.200;5
Mrz 22;2.362.160;437.160;502.950;5,1
Feb 22;2.427.960;498.770;532.980;5,3
Jan 22;2.462.160;531.340;398.670;5,4
Dez 21;2.329.530;500.800;488.350;5,1
Nov 21;2.317.070;466.150;526.000;5,1
Okt 21;2.376.930;476.910;564.780;5,2
Sep 21;2.464.790;498.150;611.830;5,4
Aug 21;2.578.470;523.680;535.520;5,6
Jul 21;2.590.310;489.250;512.730;5,6
Jun 21;2.613.830;432.020;505.400;5,7
Mai 21;2.687.190;436.860;520.910;5,9
Apr 21;2.771.230;497.980;554.210;6
Mrz 21;2.827.450;430.230;507.200;6,2
Feb 21;2.904.410;473.010;469.270;6,3
Jan 21;2.900.660;598.660;405.260;6,3
Dez 20;2.707.240;482.430;474.320;5,9
Nov 20;2.699.130;506.820;567.480;5,9
Okt 20;2.759.780;534.670;622.040;6
Sep 20;2.847.150;496.680;605.010;6,2
Aug 20;2.955.490;524.590;479.120;6,4
Jul 20;2.910.010;471.500;414.830;6,3
Jun 20;2.853.310;418.630;378.320;6,2
Mai 20;2.812.990;484.300;315.060;6,1
Apr 20;2.643.740;667.530;359.160;5,8
Mrz 20;2.335.370;584.760;645.000;5,1
Feb 20;2.395.600;599.800;629.710;5,3
Jan 20;2.425.520;673.900;475.550;5,3
Dez 19;2.227.160;572.050;524.890;4,9
Nov 19;2.180.000;575.280;599.370;4,8
Okt 19;2.204.090;629.680;659.620;4,8
Sep 19;2.234.030;593.970;679.350;4,9
Aug 19;2.319.410;643.550;599.610;5,1
Jul 19;2.275.460;584.540;525.330;5
Jun 19;2.216.240;562.780;582.510;4,9
Mai 19;2.235.970;592.680;585.590;4,9
Apr 19;2.228.880;586.780;659.020;4,9
Mrz 19;2.301.120;587.810;659.380;5,1
Feb 19;2.372.700;624.560;657.440;5,3
Jan 19;2.405.590;689.480;493.420;5,3
Dez 18;2.209.550;584.060;560.620;4,9
Nov 18;2.186.110;602.070;619.810;4,8
